Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,6.280000,6.420000,6.270000,6.410000,6.410000,60422475
2018-07-10,6.440000,6.540000,6.370000,6.510000,6.510000,76455224
2018-07-11,6.400000,6.420000,6.320000,6.380000,6.380000,50374758
2018-07-12,6.290000,6.380000,6.250000,6.350000,6.350000,118773086
2018-07-13,6.330000,6.370000,6.300000,6.340000,6.340000,45528643
2018-07-16,6.340000,6.370000,6.250000,6.330000,6.330000,43539924
2018-07-17,6.270000,6.270000,6.160000,6.200000,6.200000,86807757
2018-07-18,6.220000,6.260000,6.170000,6.210000,6.210000,50214975
2018-07-19,6.230000,6.300000,6.220000,6.250000,6.250000,47232610
2018-07-20,6.260000,6.410000,6.260000,6.390000,6.390000,79037204
2018-07-23,6.380000,6.450000,6.340000,6.430000,6.430000,73035489
2018-07-24,6.420000,6.600000,6.400000,6.520000,6.520000,105004642
2018-07-25,6.640000,6.670000,6.520000,6.540000,6.540000,110597671
2018-07-26,6.570000,6.630000,6.500000,6.560000,6.560000,64314812
2018-07-27,6.560000,6.620000,6.520000,6.620000,6.620000,65863984
2018-07-30,6.590000,6.650000,6.550000,6.600000,6.600000,61902284
2018-07-31,6.620000,6.830000,6.600000,6.760000,6.760000,110240254
2018-08-01,6.700000,6.770000,6.650000,6.650000,6.650000,78698511
2018-08-02,6.640000,6.640000,6.440000,6.520000,6.520000,96026073
2018-08-03,6.540000,6.670000,6.520000,6.580000,6.580000,79160417
2018-08-06,6.550000,6.700000,6.470000,6.510000,6.510000,89523386
2018-08-07,6.560000,6.800000,6.560000,6.790000,6.790000,155491572
2018-08-08,6.740000,6.840000,6.700000,6.730000,6.730000,115866768
